Year,Player,Pos,Age,Tm,all_star,championship,PER,FG,3P,2P,FT,AST,STL,BLK,TOV,PTS
2014,Jordan Hamilton,SF,23,HOU,0,0,11.7,48,25,23,17,18,13,7,19,138
2014,Justin Hamilton,C,23,TOT,0,0,11.9,9,3,6,5,0,5,0,4,26
2014,Justin Hamilton,C,23,CHA,0,0,0,0,0,0,0,0,1,0,1,0
2014,Justin Hamilton,C,23,MIA,0,0,12.6,9,3,6,5,0,4,0,3,26
2014,Tyler Hansbrough,PF,28,TOR,0,0,14.2,93,0,93,126,17,28,19,47,312
2014,Tim Hardaway,SG,21,NYK,0,0,12.7,294,130,164,106,66,44,7,47,824
2014,James Harden,SG,24,HOU,1,0,23.5,549,177,372,576,446,115,29,265,1851
2014,Maurice Harkless,SF,20,ORL,0,0,11.8,224,59,165,85,80,97,50,86,592
2014,Josh Harrellson,C,24,DET,0,0,13.4,38,12,26,5,15,6,15,10,93
2014,Al Harrington,PF,33,WAS,0,0,9.7,82,34,48,27,28,14,0,34,225
2014,Devin Harris,PG,30,DAL,0,0,14.6,96,31,65,92,178,28,2,59,315
2014,Elias Harris,SF,24,LAL,0,0,7.6,0,0,0,0,1,1,0,0,0
2014,Manny Harris,SG,24,LAL,0,0,10.9,28,7,21,10,11,4,1,9,73
2014,Mike Harris,PF,30,UTA,0,0,15.3,29,0,29,26,5,16,7,11,84
2014,Tobias Harris,PF,21,ORL,0,0,16.5,332,32,300,197,82,41,24,78,893
2014,Udonis Haslem,PF,33,MIA,0,0,10.5,74,0,74,25,13,11,15,24,173
2014,Spencer Hawes,C,25,TOT,0,0,15.7,403,128,275,119,240,44,94,173,1053
2014,Spencer Hawes,C,25,PHI,0,0,15.3,264,81,183,79,176,31,67,119,688
2014,Spencer Hawes,C,25,CLE,0,0,16.6,139,47,92,40,64,13,27,54,365
2014,Chuck Hayes,C,30,TOT,0,0,10,56,0,56,20,35,34,12,33,132
2014,Chuck Hayes,C,30,SAC,0,0,11.4,14,0,14,5,6,11,2,7,33
2014,Chuck Hayes,C,30,TOR,0,0,9.6,42,0,42,15,29,23,10,26,99
2014,Gordon Hayward,SF,23,UTA,0,0,16.2,426,85,341,311,400,110,40,212,1248
2014,Gerald Henderson,SG,26,CHA,0,0,13.1,403,40,363,235,199,51,32,113,1081
2014,Xavier Henry,SF,22,LAL,0,0,12.3,144,28,116,116,51,44,7,57,432
2014,John Henson,PF,23,MIL,0,0,17.9,344,0,344,91,113,41,116,114,779
2014,Roy Hibbert,C,27,IND,1,0,13.5,331,2,329,207,91,29,182,148,871
2014,J.J. Hickson,PF,25,DEN,0,0,16.2,332,0,332,150,96,47,51,128,814
2014,Nene Hilario,PF,31,WAS,0,0,16.6,299,1,298,155,153,64,47,117,754
2014,George Hill,PG,27,IND,0,0,13.4,272,95,177,142,265,75,23,92,781
2014,Jordan Hill,PF,26,LAL,0,0,19.3,286,0,286,124,54,29,64,75,696
2014,Solomon Hill,SF,22,IND,0,0,7.6,17,7,10,6,12,5,2,13,47
2014,Kirk Hinrich,PG,33,CHI,0,0,10.8,243,85,158,95,286,80,26,120,666
2014,Jrue Holiday,PG,23,NOP,0,0,17.1,203,30,173,51,268,56,12,105,487
2014,Ryan Hollins,PF,29,LAC,0,0,11.9,53,0,53,35,8,9,31,29,141
2014,Scotty Hopson,SG,24,CLE,0,0,-6.5,0,0,0,1,1,1,0,0,1
2014,Al Horford,C,27,ATL,0,0,22,238,4,234,58,76,27,44,64,538
2014,Dwight Howard,C,28,HOU,1,0,21.3,473,2,471,349,131,60,128,229,1297
2014,Robbie Hummel,SF,24,MIN,0,0,9.6,67,32,35,15,23,16,2,10,181
2014,Kris Humphries,PF,28,BOS,0,0,18.2,231,0,231,117,67,31,61,64,579
2014,Serge Ibaka,PF,24,OKC,0,0,19.6,524,23,501,156,85,39,219,123,1227
2014,Andre Iguodala,SF,30,GSW,0,0,13.7,220,62,158,86,263,95,18,100,588
2014,Ersan Ilyasova,PF,26,MIL,0,0,13.8,237,37,200,107,72,46,8,61,618
2014,Kyrie Irving,PG,21,CLE,1,0,20.1,532,123,409,291,433,108,23,190,1478
2014,Royal Ivey,SG,32,OKC,0,0,-16.5,0,0,0,0,0,0,0,0,0
2014,Jarrett Jack,PG,30,CLE,0,0,11.5,286,63,223,125,324,56,22,133,760
2014,Reggie Jackson,PG,23,OKC,0,0,15.4,403,83,320,158,331,85,9,168,1047
2014,Stephen Jackson,SF,35,LAC,0,0,0.1,6,1,5,2,5,6,1,6,15
2014,Bernard James,C,28,DAL,0,0,8.5,11,0,11,6,3,3,8,10,28
2014,Damion James,SF,26,SAS,0,1,4.1,2,0,2,2,3,0,1,1,6
2014,LeBron James,PF,29,MIA,1,0,29.3,767,116,651,439,488,121,26,270,2089
2014,Mike James,PG,38,CHI,0,0,1.5,5,1,4,0,17,2,0,5,11
